coordinates,latitude,longitude
"43.253320172012685, -79.86928707988771",43.253320172012685, -79.86928707988771
"43.25063682142333, -79.85209349199839",43.25063682142333, -79.85209349199839
"43.247623452723595, -79.8386634532602",43.247623452723595, -79.8386634532602
"43.25606256486144, -79.8328625962096",43.25606256486144, -79.8328625962096
"43.26472809952085, -79.86688950030884",43.26472809952085, -79.86688950030884
"43.23053117451717, -79.87016299528752",43.23053117451717, -79.87016299528752
"43.241456658126936, -79.91071775649586",43.241456658126936, -79.91071775649586
